Epoch,Training_Loss(MSE),Validation_Loss(MSE),Training_MAE,Validation_MAE
1,5.379063129425049,11.05351734161377,2.0868308544158936,2.1834349632263184
2,1.7146086692810059,7.718058109283447,1.139523983001709,1.5944929122924805
3,0.4940924346446991,5.036612510681152,0.5158305168151855,1.3636127710342407
4,0.31628960371017456,3.6921985149383545,0.408756822347641,1.1956610679626465
5,0.31876030564308167,1.7333331108093262,0.4184041917324066,0.8236983418464661
6,0.34502485394477844,0.17632849514484406,0.4254312217235565,0.25518742203712463
7,0.26343703269958496,0.11270130425691605,0.38046005368232727,0.20083874464035034
8,0.2921410799026489,0.05277794227004051,0.40690526366233826,0.09649253636598587
9,0.3228951394557953,0.1391102373600006,0.436985582113266,0.26655256748199463
10,0.2895858883857727,0.051981471478939056,0.3947281837463379,0.09969422966241837
11,0.2973356246948242,0.04353170469403267,0.40656977891921997,0.06864798814058304
12,0.25413623452186584,0.043256208300590515,0.3796413838863373,0.07232218235731125
13,0.2707673907279968,0.04133741557598114,0.39000073075294495,0.06392072141170502
14,0.2299528568983078,0.15326839685440063,0.35085994005203247,0.30652374029159546
15,0.23963993787765503,0.13391539454460144,0.35934028029441833,0.27678391337394714
16,0.3354543149471283,0.0559198223054409,0.4325099587440491,0.11639420688152313
17,0.2747286260128021,0.06543716788291931,0.40784090757369995,0.13564437627792358
18,0.2641805410385132,0.06074326112866402,0.38717642426490784,0.13834968209266663
19,0.23460499942302704,0.044240426272153854,0.368416428565979,0.09413517266511917
20,0.22429797053337097,0.03746873512864113,0.3664249777793884,0.07133457809686661
21,0.26269984245300293,0.06944015622138977,0.3911323547363281,0.1466745287179947
22,0.27194610238075256,0.04163043200969696,0.3791941702365875,0.09988106787204742
23,0.266429603099823,0.06304999440908432,0.39231789112091064,0.1538628190755844
24,0.26628294587135315,0.037364307790994644,0.37959760427474976,0.08560694009065628
25,0.2655028998851776,0.07575350254774094,0.39628463983535767,0.17664951086044312
26,0.2719602584838867,0.03146561235189438,0.40333011746406555,0.05990146845579147
27,0.2747562527656555,0.03188434988260269,0.3952462673187256,0.07212036848068237
28,0.2618577778339386,0.028619231656193733,0.3895617425441742,0.04903319478034973
29,0.2808878719806671,0.076600082218647,0.4105752110481262,0.19078746438026428
30,0.24444641172885895,0.02976335398852825,0.3655574917793274,0.06771768629550934
31,0.21726249158382416,0.059284601360559464,0.3543139398097992,0.15012428164482117
32,0.2759704887866974,0.037796881049871445,0.40395215153694153,0.09507155418395996
33,0.20588617026805878,0.0995258241891861,0.3374854028224945,0.18669472634792328
34,0.26401278376579285,0.045247066766023636,0.3926744759082794,0.12682102620601654
35,0.23715321719646454,0.04412271827459335,0.3675275146961212,0.12682786583900452
36,0.25142809748649597,0.04461135342717171,0.3805501461029053,0.1268298625946045
37,0.2459789663553238,0.049415186047554016,0.37258055806159973,0.15104667842388153
38,0.2773573398590088,0.025806287303566933,0.40276363492012024,0.06606102734804153
39,0.2801358699798584,0.05537530034780502,0.3948321044445038,0.15043677389621735
40,0.24740803241729736,0.06207975372672081,0.3838731646537781,0.15349453687667847
41,0.25268545746803284,0.031947605311870575,0.38709720969200134,0.08750105649232864
42,0.2785162925720215,0.02099471166729927,0.4122368395328522,0.045935846865177155
43,0.24916401505470276,0.027161438018083572,0.3858361840248108,0.08264382183551788
44,0.26352959871292114,0.0398053415119648,0.39660966396331787,0.11610923707485199
45,0.21952016651630402,0.02750919573009014,0.3580910861492157,0.08781015127897263
46,0.2761530578136444,0.01904538832604885,0.39950525760650635,0.03923606127500534
47,0.21652425825595856,0.022999143227934837,0.3529129922389984,0.07429434359073639
48,0.2476678192615509,0.04435081407427788,0.36589980125427246,0.1498841792345047
49,0.23084954917430878,0.018577758222818375,0.37226635217666626,0.04738076776266098
50,0.26195836067199707,0.01827070489525795,0.4069693386554718,0.04667115584015846
51,0.21082282066345215,0.032376185059547424,0.3516072630882263,0.11067470908164978
52,0.22177009284496307,0.07203052192926407,0.3514539301395416,0.15184545516967773
53,0.2878309488296509,0.025608384981751442,0.41198354959487915,0.09182855486869812
54,0.2404589056968689,0.0233574528247118,0.3734588921070099,0.07117941230535507
55,0.22606530785560608,0.02135263942182064,0.3686511814594269,0.0768883228302002
56,0.22209033370018005,0.03209594637155533,0.3781885802745819,0.12208931893110275
57,0.27886098623275757,0.027997560799121857,0.4266614019870758,0.10979552567005157
58,0.2182580679655075,0.05437873676419258,0.3729267716407776,0.15839484333992004
59,0.23530972003936768,0.036906857043504715,0.3830380141735077,0.11934210360050201
60,0.3251417577266693,0.039184536784887314,0.4300656318664551,0.14529815316200256
61,0.24805088341236115,0.018971828743815422,0.3927389979362488,0.07450352609157562
62,0.24117694795131683,0.014120032079517841,0.39002713561058044,0.03532591462135315
63,0.25296542048454285,0.03347012400627136,0.40617647767066956,0.13509345054626465
64,0.24393264949321747,0.04871581867337227,0.3875974714756012,0.14478613436222076
65,0.21193701028823853,0.018891608342528343,0.35701146721839905,0.07091323286294937
66,0.2603147327899933,0.02132955938577652,0.4107120931148529,0.08902385085821152
67,0.289738267660141,0.062276147305965424,0.41440603137016296,0.18628257513046265
68,0.228573277592659,0.02265828847885132,0.3816639482975006,0.06834743916988373
69,0.2589356005191803,0.06488166004419327,0.39226603507995605,0.20414245128631592
70,0.1890823394060135,0.016412820667028427,0.35000818967819214,0.06637676805257797
71,0.23198425769805908,0.014590809121727943,0.3864128291606903,0.06180461868643761
72,0.20104168355464935,0.030530741438269615,0.3532874584197998,0.10608048737049103
73,0.20659340918064117,0.022942032665014267,0.3427427411079407,0.09125449508428574
74,0.22779516875743866,0.011387729085981846,0.37157589197158813,0.030834808945655823
75,0.25819170475006104,0.030865848064422607,0.40907809138298035,0.10146837681531906
76,0.2357485592365265,0.016813501715660095,0.37745848298072815,0.06844290345907211
77,0.28293147683143616,0.035806626081466675,0.42882585525512695,0.11636725813150406
78,0.24018634855747223,0.01432387251406908,0.379606157541275,0.06071147322654724
79,0.20065675675868988,0.01216957625001669,0.33331936597824097,0.0416015200316906
80,0.20850209891796112,0.027004892006516457,0.3638709783554077,0.11823593080043793
81,0.2252558171749115,0.016540713608264923,0.37569379806518555,0.07409108430147171
82,0.2377111166715622,0.03924331068992615,0.3731507360935211,0.14724279940128326
83,0.27167659997940063,0.03392866998910904,0.4051574170589447,0.1314731389284134
84,0.20571385324001312,0.023570721969008446,0.3448222875595093,0.09652280062437057
85,0.20497584342956543,0.024576900526881218,0.35010504722595215,0.10772902518510818
86,0.25549614429473877,0.01151831354945898,0.38385677337646484,0.04303157702088356
87,0.23318663239479065,0.06082886457443237,0.3878995180130005,0.13239486515522003
88,0.22285182774066925,0.01784117892384529,0.3687158226966858,0.0813111662864685
89,0.20854629576206207,0.04070970043540001,0.3548041880130768,0.11882288008928299
90,0.2352057844400406,0.01459127850830555,0.3892456591129303,0.06578582525253296
91,0.25302496552467346,0.03325614333152771,0.40423962473869324,0.11650194972753525
92,0.2651596963405609,0.014940792694687843,0.4095306694507599,0.06671027839183807
93,0.19900426268577576,0.013870648108422756,0.3636225759983063,0.06040613725781441
94,0.17905665934085846,0.014574853703379631,0.3248472809791565,0.06113326549530029
95,0.2575750946998596,0.009949610568583012,0.41062700748443604,0.030349329113960266
96,0.23803620040416718,0.024378357455134392,0.3825504779815674,0.09079691022634506
97,0.2508001923561096,0.009669700637459755,0.396024614572525,0.04132853448390961
98,0.20200885832309723,0.028773289173841476,0.34635818004608154,0.09551692754030228
99,0.22715213894844055,0.013606725260615349,0.3711024820804596,0.07175198942422867
100,0.28019678592681885,0.014303281903266907,0.42800095677375793,0.0672275573015213
101,0.18284732103347778,0.013344896025955677,0.3348875343799591,0.04520219936966896
102,0.20452551543712616,0.010422196239233017,0.36867034435272217,0.05254146084189415
103,0.21439093351364136,0.014285101555287838,0.36411264538764954,0.047311507165431976
104,0.2468542605638504,0.009510955773293972,0.38465845584869385,0.04468971863389015
105,0.27117517590522766,0.0160897895693779,0.4191703498363495,0.08478662371635437
106,0.22156566381454468,0.011727379634976387,0.3560422360897064,0.05559568479657173
107,0.2234988659620285,0.007803408429026604,0.3817528784275055,0.029600713402032852
108,0.18784555792808533,0.008332491852343082,0.3414652943611145,0.032379213720560074
109,0.21074999868869781,0.012716082856059074,0.3629753291606903,0.06812851130962372
110,0.25913646817207336,0.01917092874646187,0.39647606015205383,0.08903258293867111
111,0.24547649919986725,0.039530184119939804,0.3771284818649292,0.1253768354654312
112,0.22089622914791107,0.026017971336841583,0.37933483719825745,0.12116141617298126
113,0.21166002750396729,0.015252206474542618,0.3501691520214081,0.07471292465925217
114,0.2435055673122406,0.0076708062551915646,0.38653647899627686,0.03191782906651497
115,0.2378263771533966,0.008695675060153008,0.40109896659851074,0.04021882638335228
116,0.2496059387922287,0.023380910977721214,0.40876060724258423,0.0862898901104927
117,0.22665785253047943,0.01704307273030281,0.37469521164894104,0.09214110672473907
118,0.22986231744289398,0.009839779697358608,0.3782247006893158,0.049906183034181595
119,0.2619340717792511,0.014400648884475231,0.41511914134025574,0.08540233969688416
120,0.23406647145748138,0.010217896662652493,0.39896515011787415,0.05902918800711632
121,0.2503992021083832,0.013357940129935741,0.3994620740413666,0.06132977083325386
122,0.18392129242420197,0.0111146941781044,0.33154335618019104,0.04943437874317169
123,0.20440246164798737,0.006734180264174938,0.3567023277282715,0.024333612993359566
124,0.20316381752490997,0.008438268676400185,0.3768467307090759,0.035726819187402725
125,0.20060011744499207,0.011450056917965412,0.34870055317878723,0.05850403755903244
126,0.26459336280822754,0.04538711532950401,0.4074530601501465,0.16649220883846283
127,0.19846318662166595,0.018445100635290146,0.3545592129230499,0.0820610299706459
128,0.2643904387950897,0.00918175932019949,0.40675637125968933,0.04696222022175789
129,0.24350978434085846,0.01016444992274046,0.40613824129104614,0.05232776328921318
130,0.2501731514930725,0.008973400108516216,0.38990435004234314,0.04958692193031311
131,0.20211076736450195,0.0068610417656600475,0.3620395362377167,0.031743526458740234
132,0.2544749081134796,0.02711150050163269,0.39328187704086304,0.11099404841661453
133,0.21666578948497772,0.014222613535821438,0.36367127299308777,0.07202178984880447
134,0.2761543095111847,0.03050006367266178,0.42595747113227844,0.1254635900259018
135,0.22946757078170776,0.014434333890676498,0.3922014534473419,0.07343917340040207
136,0.23016543686389923,0.008951278403401375,0.39564284682273865,0.05411151424050331
137,0.24652396142482758,0.008928467519581318,0.3908703327178955,0.05058492347598076
138,0.2654370665550232,0.012397640384733677,0.4014565050601959,0.06983962655067444
139,0.21683774888515472,0.019606994464993477,0.3678148090839386,0.09864616394042969
140,0.24474367499351501,0.02001136913895607,0.38015201687812805,0.10414408147335052
141,0.2787765562534332,0.00709622073918581,0.40587684512138367,0.03321906924247742
142,0.20494598150253296,0.015561113134026527,0.36323052644729614,0.09329283237457275
143,0.20893022418022156,0.006280219182372093,0.3558099567890167,0.030115697532892227
144,0.2093493491411209,0.006320212502032518,0.3723321259021759,0.030913999304175377
145,0.23495526611804962,0.008694851770997047,0.3740977644920349,0.04660479351878166
146,0.23596657812595367,0.009644624777138233,0.38000360131263733,0.06203966587781906
147,0.25241973996162415,0.015770694240927696,0.38804617524147034,0.09581449627876282
148,0.20759133994579315,0.012324316427111626,0.37020760774612427,0.07131140679121017
149,0.24209526181221008,0.025607312098145485,0.38981229066848755,0.10832665115594864
150,0.23338453471660614,0.012310122139751911,0.3857731819152832,0.07215563952922821
151,0.18070805072784424,0.010536069981753826,0.3355676829814911,0.06281468272209167
152,0.25368982553482056,0.023783469572663307,0.3997863829135895,0.11344021558761597
153,0.20762421190738678,0.007269826717674732,0.3476579487323761,0.04075997322797775
154,0.2017325609922409,0.01669427752494812,0.35859817266464233,0.09735647588968277
155,0.19421645998954773,0.007138529792428017,0.3608848452568054,0.04273093491792679
156,0.2738264501094818,0.009861273691058159,0.40695151686668396,0.057984188199043274
157,0.19393019378185272,0.007106192409992218,0.346100777387619,0.04342750087380409
158,0.23835931718349457,0.013776909559965134,0.39529067277908325,0.060457054525613785
159,0.24272438883781433,0.008920107036828995,0.3804701268672943,0.0558437705039978
160,0.23402558267116547,0.02391696907579899,0.39013344049453735,0.12611551582813263
161,0.2521340847015381,0.014601090922951698,0.39392799139022827,0.0948614552617073
162,0.23186245560646057,0.01657918095588684,0.3901151716709137,0.08370451629161835
163,0.18735189735889435,0.007548309862613678,0.33632633090019226,0.04957054927945137
164,0.2516140043735504,0.009884681552648544,0.39613083004951477,0.05819235369563103
165,0.1886531412601471,0.006076561287045479,0.3498716950416565,0.026628974825143814
166,0.21985627710819244,0.007391270250082016,0.37094244360923767,0.047033898532390594
167,0.19753842055797577,0.005313272587954998,0.3517366051673889,0.025552736595273018
168,0.27290913462638855,0.005836316384375095,0.4251876771450043,0.031668856739997864
169,0.22165194153785706,0.007347379811108112,0.38132908940315247,0.04528389871120453
170,0.19935251772403717,0.005357439164072275,0.3600100874900818,0.024659372866153717
171,0.1956823617219925,0.005730558652430773,0.35495370626449585,0.03403858095407486
172,0.25528252124786377,0.005477255210280418,0.4097537696361542,0.028925083577632904
173,0.23612746596336365,0.012103589251637459,0.3910447657108307,0.06942091882228851
174,0.19871480762958527,0.0069665745832026005,0.35447582602500916,0.04544121399521828
175,0.23159629106521606,0.018977105617523193,0.38457536697387695,0.10785288363695145
176,0.2566394507884979,0.009084907360374928,0.39126378297805786,0.05791980400681496
177,0.20840993523597717,0.009214398451149464,0.36640751361846924,0.05871274694800377
178,0.21072809398174286,0.013455649837851524,0.34885168075561523,0.08752910792827606
179,0.26960131525993347,0.009570380672812462,0.4034331738948822,0.06197020411491394
180,0.2441987693309784,0.007227633614093065,0.38704419136047363,0.04187674820423126
181,0.2339048683643341,0.005132337100803852,0.38460493087768555,0.027628181502223015
182,0.23442654311656952,0.006586073432117701,0.3819781541824341,0.04320288076996803
183,0.23728440701961517,0.008915496058762074,0.37866732478141785,0.05174439027905464
184,0.21763192117214203,0.007304299622774124,0.3689855635166168,0.049647118896245956
185,0.2313857078552246,0.009337015450000763,0.38707825541496277,0.06024819239974022
186,0.23114287853240967,0.006213155575096607,0.38779395818710327,0.03969663754105568
187,0.18780726194381714,0.004663979634642601,0.3376220762729645,0.020791983231902122
188,0.22627881169319153,0.008412237279117107,0.38393309712409973,0.04571729898452759
189,0.22251899540424347,0.004793127998709679,0.3631669580936432,0.022900164127349854
190,0.2457793653011322,0.005208086222410202,0.4009377360343933,0.028201432898640633
191,0.26831576228141785,0.01097565796226263,0.42480799555778503,0.07177252322435379
192,0.27459558844566345,0.007847456261515617,0.4093864858150482,0.05125588923692703
193,0.2705177962779999,0.006099340971559286,0.4100543260574341,0.04145001620054245
194,0.2185296267271042,0.00487914402037859,0.3816573917865753,0.025432026013731956
195,0.2556993365287781,0.02031097374856472,0.41267216205596924,0.09140908718109131
196,0.1937452107667923,0.0072676935233175755,0.34930500388145447,0.05008658021688461
197,0.2276594340801239,0.010887068696320057,0.3784615695476532,0.06895997375249863
198,0.24446238577365875,0.014704273082315922,0.40276503562927246,0.07958772033452988
199,0.2013486623764038,0.013716096989810467,0.3384600579738617,0.07311074435710907
200,0.2487736940383911,0.005345463752746582,0.3967887759208679,0.031234590336680412
201,0.2316390424966812,0.004770508036017418,0.38296443223953247,0.028073420748114586
202,0.2303546965122223,0.005296875257045031,0.39565908908843994,0.03425970301032066
203,0.2554081976413727,0.011542110703885555,0.4042302072048187,0.06793477386236191
204,0.2871381640434265,0.005576487630605698,0.4270254373550415,0.03397265076637268
205,0.2748626470565796,0.006194754503667355,0.41514265537261963,0.03617553040385246
206,0.2145981639623642,0.005784959532320499,0.37081077694892883,0.03495396673679352
207,0.19091063737869263,0.0073142386972904205,0.35272443294525146,0.044506967067718506
208,0.22719606757164001,0.0075843981467187405,0.382577121257782,0.05141998454928398
209,0.2544668912887573,0.0043427422642707825,0.4017878770828247,0.021083351224660873
