Epoch,Training_Loss(MSE),Validation_Loss(MSE),Training_MAE,Validation_MAE
1,6.951442718505859,8.804303169250488,2.02476167678833,1.7107549905776978
2,1.3973087072372437,5.696669101715088,0.9729056358337402,1.5790326595306396
3,0.3526776432991028,3.792184352874756,0.4356914162635803,1.473174810409546
4,0.25112298130989075,1.8096734285354614,0.38891133666038513,1.045411467552185
5,0.3012015223503113,0.5221071243286133,0.42208579182624817,0.5591901540756226
6,0.25184544920921326,0.14958207309246063,0.3981330096721649,0.30650195479393005
7,0.23688599467277527,0.006955286953598261,0.37347403168678284,0.06258830428123474
8,0.25793173909187317,0.05700096860527992,0.39664226770401,0.18137890100479126
9,0.2586067020893097,0.00949073862284422,0.38919028639793396,0.06409307569265366
10,0.22189126908779144,0.006280851550400257,0.3618842661380768,0.054072070866823196
11,0.2251332849264145,0.01412254199385643,0.35391584038734436,0.07558242231607437
12,0.3212185204029083,0.009390204213559628,0.4491252303123474,0.06944192945957184
13,0.2417145073413849,0.00684535363689065,0.38660410046577454,0.053625013679265976
14,0.2714504599571228,0.006725342944264412,0.4093489646911621,0.05615193769335747
15,0.18360142409801483,0.007667439989745617,0.3233828544616699,0.06860898435115814
16,0.26795536279678345,0.04305361956357956,0.4165288805961609,0.16418038308620453
17,0.25295376777648926,0.01136004738509655,0.3936016261577606,0.07352173328399658
18,0.2509755492210388,0.0089018689468503,0.39157652854919434,0.051743265241384506
19,0.32253119349479675,0.00559628289192915,0.43664637207984924,0.05256747081875801
20,0.25175827741622925,0.008793766610324383,0.38442036509513855,0.0744071900844574
21,0.23883803188800812,0.008315238170325756,0.383787602186203,0.07219483703374863
22,0.2835671305656433,0.0038023851811885834,0.4242527186870575,0.041543152183294296
23,0.21557672321796417,0.005282800178974867,0.36300379037857056,0.055189456790685654
24,0.2728846073150635,0.004574522841721773,0.39994364976882935,0.05337110534310341
25,0.2671932578086853,0.011662927456200123,0.40648698806762695,0.08358826488256454
26,0.30862921476364136,0.01698392815887928,0.4395303428173065,0.08866854757070541
27,0.2114424854516983,0.004756889771670103,0.3701768219470978,0.04621904715895653
28,0.28307586908340454,0.01655837707221508,0.41632771492004395,0.09238985180854797
29,0.21519047021865845,0.004667637404054403,0.36236777901649475,0.05557364597916603
30,0.223240926861763,0.012445731088519096,0.36057308316230774,0.07942725718021393
31,0.21669964492321014,0.002732056425884366,0.3770991861820221,0.03286276385188103
32,0.23460039496421814,0.008052552118897438,0.3713946044445038,0.06984341889619827
33,0.22930246591567993,0.011170454323291779,0.3770013749599457,0.08078651130199432
34,0.200363427400589,0.004616765771061182,0.34498274326324463,0.05058375746011734
35,0.2528291940689087,0.008700934238731861,0.39863884449005127,0.06921133399009705
36,0.22479248046875,0.013505732640624046,0.3777082562446594,0.10547046363353729
37,0.2139451950788498,0.019384073093533516,0.364568829536438,0.10602695494890213
38,0.2514265477657318,0.005083722062408924,0.41191017627716064,0.055433567613363266
39,0.226463183760643,0.021963264793157578,0.383963018655777,0.11761584132909775
40,0.26920774579048157,0.005681503098458052,0.41014620661735535,0.05735865235328674
41,0.27821242809295654,0.008634191006422043,0.3959515392780304,0.05539894104003906
42,0.2725398540496826,0.016789423301815987,0.41090109944343567,0.09583992511034012
43,0.24770963191986084,0.006899425759911537,0.36704209446907043,0.05698772147297859
44,0.23393552005290985,0.004840970505028963,0.3927173912525177,0.05481032654643059
45,0.23095843195915222,0.03865665942430496,0.3818434476852417,0.16863584518432617
46,0.20503540337085724,0.005430837161839008,0.34399762749671936,0.0538228377699852
47,0.1839129775762558,0.002558707492426038,0.33595162630081177,0.029244137927889824
48,0.1919466108083725,0.0031411400996148586,0.3297160267829895,0.036577168852090836
49,0.22696170210838318,0.005747291259467602,0.38047081232070923,0.05646061524748802
50,0.2132900506258011,0.0051490082405507565,0.36765938997268677,0.05701710656285286
51,0.25293445587158203,0.006350417155772448,0.4153382182121277,0.06824342906475067
52,0.22620230913162231,0.004303682595491409,0.3769824802875519,0.03793972730636597
53,0.2207086682319641,0.00197144434787333,0.3557421565055847,0.02702362835407257
54,0.19749444723129272,0.002816537395119667,0.3491121530532837,0.03446655720472336
55,0.21421536803245544,0.013372785411775112,0.3641282916069031,0.09083198755979538
56,0.22971078753471375,0.005444183014333248,0.3684324026107788,0.06386715173721313
57,0.22972334921360016,0.012021693401038647,0.390145868062973,0.09521545469760895
58,0.22681067883968353,0.0024616518057882786,0.3806767761707306,0.028288155794143677
59,0.22537647187709808,0.030003346502780914,0.39003077149391174,0.13198962807655334
60,0.22672311961650848,0.007617683615535498,0.3819810152053833,0.06558411568403244
61,0.24699613451957703,0.006953707896173,0.40299537777900696,0.061865177005529404
62,0.21406467258930206,0.02136676199734211,0.3649756610393524,0.11044985055923462
63,0.2284974306821823,0.006066246889531612,0.38461557030677795,0.058826833963394165
64,0.2058648020029068,0.00653983186930418,0.37660840153694153,0.05663405358791351
65,0.21762436628341675,0.012573091313242912,0.36905696988105774,0.07957738637924194
66,0.20997148752212524,0.014855158515274525,0.35924217104911804,0.08997315168380737
67,0.22441154718399048,0.004098332021385431,0.354635626077652,0.05077148973941803
68,0.21642984449863434,0.004902421031147242,0.354124516248703,0.05803414806723595
69,0.2349599152803421,0.004138728138059378,0.39381143450737,0.045634541660547256
70,0.21241971850395203,0.009011834859848022,0.36860188841819763,0.08429006487131119
71,0.2118929922580719,0.006065767258405685,0.36864155530929565,0.06480565667152405
72,0.22219403088092804,0.0028613279573619366,0.35836660861968994,0.03907638415694237
73,0.22195042669773102,0.007844672538340092,0.3779042065143585,0.06841340661048889
74,0.21007345616817474,0.0018087306525558233,0.3617579936981201,0.02554667927324772
75,0.27094826102256775,0.011134935542941093,0.40705177187919617,0.07737527787685394
76,0.2654741704463959,0.0021985548082739115,0.4125726521015167,0.024597743526101112
77,0.19774244725704193,0.0031244948040694,0.35817596316337585,0.03980480134487152
78,0.23591597378253937,0.002386508509516716,0.3858262300491333,0.03306736424565315
79,0.2417079657316208,0.0017658986616879702,0.39867016673088074,0.0234990157186985
80,0.24927493929862976,0.007070443127304316,0.3989141881465912,0.06817584484815598
81,0.2612854838371277,0.0032737008295953274,0.3983711302280426,0.03499716520309448
82,0.18500711023807526,0.002237326931208372,0.3385592997074127,0.023134052753448486
83,0.2058812379837036,0.003311524400487542,0.37138432264328003,0.042918018996715546
84,0.20784896612167358,0.0050524999387562275,0.3569839596748352,0.06008504703640938
85,0.22701624035835266,0.003841349156573415,0.3827449083328247,0.04272420331835747
86,0.21209770441055298,0.002926059765741229,0.3561587631702423,0.040130916982889175
87,0.2186177670955658,0.0046979524195194244,0.3580818474292755,0.056317925453186035
88,0.27186673879623413,0.0050644767470657825,0.41865524649620056,0.045840952545404434
