Epoch,Training_Loss(MSE),Validation_Loss(MSE),Training_MAE,Validation_MAE
1,6.128048419952393,10.197114944458008,2.22224760055542,2.11348819732666
2,2.7406187057495117,5.2889885902404785,1.438353419303894,1.330682396888733
3,1.0219717025756836,3.875840187072754,0.6855718493461609,1.4842360019683838
4,0.5959132313728333,2.8146800994873047,0.434568852186203,1.2799698114395142
5,0.5591555237770081,1.590262770652771,0.43027663230895996,0.892936110496521
6,0.4780242145061493,0.7221735119819641,0.37119489908218384,0.49851974844932556
7,0.4622916579246521,0.3847010135650635,0.3772062659263611,0.26542186737060547
8,0.4610140323638916,0.24474379420280457,0.38783156871795654,0.12727884948253632
9,0.47216761112213135,0.2599559724330902,0.4041373133659363,0.19015607237815857
10,0.4183976352214813,0.23853938281536102,0.36322924494743347,0.17764312028884888
11,0.4865918457508087,0.2356344312429428,0.4266519248485565,0.18222762644290924
12,0.47009676694869995,0.2521856427192688,0.4224405288696289,0.24533717334270477
13,0.43980082869529724,0.2291327714920044,0.39854860305786133,0.2216774970293045
14,0.4304788112640381,0.22228185832500458,0.3976726830005646,0.1785295456647873
15,0.4329468011856079,0.1913606971502304,0.40542784333229065,0.16525799036026
16,0.3476541042327881,0.1658048927783966,0.36418968439102173,0.12390013784170151
17,0.37058669328689575,0.14715324342250824,0.37062782049179077,0.08768468350172043
18,0.4060032367706299,0.14930367469787598,0.42485716938972473,0.10801880061626434
19,0.40723246335983276,0.2254132777452469,0.42818668484687805,0.25085827708244324
20,0.34504806995391846,0.22075368463993073,0.37720975279808044,0.23638881742954254
21,0.4176667332649231,0.14027534425258636,0.4377487003803253,0.10441477596759796
22,0.36551526188850403,0.1302621215581894,0.39697059988975525,0.10945457965135574
23,0.392560750246048,0.12332979589700699,0.40722572803497314,0.10567925125360489
24,0.3135373592376709,0.11839114129543304,0.3815729320049286,0.10881663113832474
25,0.3042227029800415,0.11332562565803528,0.37520134449005127,0.11535952985286713
26,0.3276892304420471,0.11860854923725128,0.38286712765693665,0.13527123630046844
27,0.35798585414886475,0.13600578904151917,0.42649927735328674,0.186862051486969
28,0.27237969636917114,0.09770100563764572,0.35119569301605225,0.10912667214870453
29,0.34016910195350647,0.1545567512512207,0.4120173454284668,0.21645298600196838
30,0.2857974171638489,0.11083012819290161,0.363789826631546,0.16061744093894958
31,0.2332603633403778,0.08772509545087814,0.3211174011230469,0.11899039149284363
32,0.38647332787513733,0.1190451830625534,0.4526106119155884,0.21072635054588318
33,0.3160083591938019,0.13594330847263336,0.4042489528656006,0.221879780292511
34,0.2534324526786804,0.07289110869169235,0.34671562910079956,0.07929188013076782
35,0.3067612946033478,0.08257793635129929,0.39735662937164307,0.1319984793663025
