Epoch,Training_Loss(MSE),Validation_Loss(MSE),Training_MAE,Validation_MAE
1,6.925999164581299,9.182037353515625,2.0987751483917236,1.7900652885437012
2,1.713684320449829,5.8443989753723145,1.0986522436141968,1.5813891887664795
3,0.3528435230255127,4.224226474761963,0.45820552110671997,1.5787689685821533
4,0.2321925312280655,2.521267890930176,0.3657391369342804,1.2597482204437256
5,0.26991555094718933,0.6462650299072266,0.41195565462112427,0.6318387985229492
6,0.2578323483467102,0.14307144284248352,0.40235623717308044,0.3162620961666107
7,0.23885369300842285,0.015174233354628086,0.3771559000015259,0.09157945960760117
8,0.22394205629825592,0.040143102407455444,0.37310701608657837,0.1540399044752121
9,0.2680824100971222,0.001929523074068129,0.40554726123809814,0.03564043715596199
10,0.2502175569534302,0.004834664054214954,0.38799697160720825,0.05330496281385422
11,0.22677941620349884,0.009947669692337513,0.3734273910522461,0.07703247666358948
12,0.22709472477436066,0.005752512253820896,0.3777224123477936,0.05275111272931099
13,0.23400306701660156,0.00878069270402193,0.34969255328178406,0.06177305430173874
14,0.2345573455095291,0.019287340342998505,0.35197222232818604,0.11323472112417221
15,0.22662600874900818,0.006179077550768852,0.37736472487449646,0.06492523849010468
16,0.2666275203227997,0.0074210031889379025,0.39874008297920227,0.07550555467605591
17,0.23995405435562134,0.007727821357548237,0.3776319622993469,0.04897177219390869
18,0.24977663159370422,0.008752002380788326,0.3944411873817444,0.07905144989490509
19,0.2810390889644623,0.026983458548784256,0.40738892555236816,0.1286848932504654
20,0.2600502073764801,0.004350566305220127,0.39797443151474,0.044350143522024155
21,0.19897444546222687,0.009414054453372955,0.3348761200904846,0.06408317387104034
22,0.25116872787475586,0.022640423849225044,0.40103310346603394,0.12739433348178864
23,0.23333750665187836,0.011959785595536232,0.3799692392349243,0.08494734019041061
24,0.19406017661094666,0.019667604938149452,0.35784944891929626,0.12316194176673889
25,0.31268516182899475,0.00792261678725481,0.4318172037601471,0.060849159955978394
26,0.2367846518754959,0.003304258221760392,0.37458398938179016,0.04930572211742401
27,0.22608807682991028,0.01213363278657198,0.38283011317253113,0.08476108312606812
28,0.25691837072372437,0.00736115500330925,0.3962540924549103,0.05848730355501175
29,0.28549879789352417,0.03429180756211281,0.42599794268608093,0.15535983443260193
30,0.1978360116481781,0.01166611723601818,0.34459808468818665,0.08483542501926422
31,0.21872949600219727,0.0020426956471055746,0.36895468831062317,0.0305333249270916
32,0.242965430021286,0.022147085517644882,0.38146671652793884,0.1217598170042038
33,0.28667664527893066,0.0028910937253385782,0.4227847158908844,0.038169801235198975
34,0.24640515446662903,0.0028079727198928595,0.39135611057281494,0.04095453768968582
35,0.226498544216156,0.002905942965298891,0.36569952964782715,0.03924868255853653
36,0.2609158158302307,0.0013483447255566716,0.40248292684555054,0.02658138796687126
37,0.20729078352451324,0.00741938641294837,0.36840736865997314,0.06732296943664551
38,0.22678065299987793,0.008780347183346748,0.36367127299308777,0.07493072748184204
39,0.1846613734960556,0.002612826181575656,0.3294691741466522,0.04111156612634659
40,0.22460059821605682,0.004469729959964752,0.36610424518585205,0.054887834936380386
41,0.24222564697265625,0.005535762757062912,0.37474966049194336,0.057242587208747864
42,0.2167423963546753,0.0020044392440468073,0.3594829738140106,0.033421143889427185
43,0.2656993269920349,0.0023204998578876257,0.38665470480918884,0.03598026558756828
44,0.29918184876441956,0.0025913577992469072,0.42951807379722595,0.02992447279393673
45,0.3282097578048706,0.013185378164052963,0.4487001895904541,0.08382923156023026
46,0.22548028826713562,0.0033390677999705076,0.3679335117340088,0.045776933431625366
47,0.20457269251346588,0.002176333451643586,0.35446396470069885,0.0294708963483572
48,0.2111126184463501,0.0037217577919363976,0.3594100773334503,0.047244638204574585
49,0.26674750447273254,0.0037761968560516834,0.4092016816139221,0.045641954988241196
50,0.1741015911102295,0.003562670899555087,0.30219030380249023,0.03911001607775688
51,0.2543194591999054,0.0026204166933894157,0.40558063983917236,0.040609799325466156
52,0.23189304769039154,0.0021657985635101795,0.38041284680366516,0.029468748718500137
53,0.2195734977722168,0.001171582960523665,0.37022313475608826,0.02577904984354973
54,0.24642314016819,0.00458942586556077,0.38331642746925354,0.05262993648648262
55,0.18848539888858795,0.0020183478482067585,0.3500121533870697,0.03690676391124725
56,0.25590384006500244,0.0018738794606179,0.4055522084236145,0.02691924013197422
57,0.22791743278503418,0.0075295427814126015,0.3751790225505829,0.0642404556274414
58,0.2449556589126587,0.0035101280082017183,0.3942699730396271,0.043321527540683746
59,0.2271316647529602,0.0016766500193625689,0.3861513137817383,0.032483600080013275
60,0.27021974325180054,0.0016137206694111228,0.4154728651046753,0.029620619490742683
61,0.22267253696918488,0.0020187674090266228,0.3639857769012451,0.03540788218379021
62,0.301750510931015,0.002065840410068631,0.4260249435901642,0.033282097429037094
63,0.18054328858852386,0.0009289312292821705,0.32888394594192505,0.02103959023952484
64,0.24345561861991882,0.010600915178656578,0.3912999927997589,0.07881960272789001
65,0.2330426275730133,0.004466427024453878,0.39959049224853516,0.04815761744976044
66,0.23470650613307953,0.0012428248301148415,0.3978673815727234,0.02452208660542965
67,0.18398956954479218,0.0033379066735506058,0.344196617603302,0.04746004566550255
68,0.20828263461589813,0.0032045149710029364,0.3692478835582733,0.04725618660449982
69,0.26657623052597046,0.0045182672329247,0.4143581688404083,0.05404667183756828
70,0.2416807860136032,0.003477828111499548,0.3838845193386078,0.046852514147758484
71,0.1896921843290329,0.008398627862334251,0.34410369396209717,0.07540290057659149
72,0.23886552453041077,0.0022636002395302057,0.3818274438381195,0.03642428666353226
73,0.23307855427265167,0.0011727823875844479,0.3907521367073059,0.024923386052250862
74,0.2373676300048828,0.0051804473623633385,0.3988598883152008,0.06298349797725677
75,0.2339710295200348,0.01761508360505104,0.3842327296733856,0.11190826445817947
76,0.20635420083999634,0.0017072510672733188,0.36366453766822815,0.02941027842462063
77,0.22502990067005157,0.0011235548881813884,0.3781436085700989,0.022104479372501373
78,0.18977227807044983,0.0054430305026471615,0.3424031138420105,0.06264326721429825
79,0.2076840102672577,0.0017836878541857004,0.3539699912071228,0.032943662256002426
80,0.2756670415401459,0.009832406416535378,0.4105474650859833,0.07465612888336182
81,0.20285001397132874,0.010893304832279682,0.3494151830673218,0.08530250191688538
82,0.21195027232170105,0.002007316332310438,0.3749227821826935,0.03449910134077072
83,0.21210159361362457,0.001543105929158628,0.3612295985221863,0.030156873166561127
84,0.2539346218109131,0.0017171987565234303,0.3980729281902313,0.029056789353489876
85,0.2585691511631012,0.0018995376303792,0.3996710181236267,0.024989264085888863
86,0.23684126138687134,0.0013752005761489272,0.3758786618709564,0.02815931662917137
87,0.24853748083114624,0.0012446739710867405,0.40614044666290283,0.023563191294670105
88,0.23410728573799133,0.0034385828766971827,0.38293537497520447,0.049055375158786774
