Epoch,Training_Loss(MSE),Validation_Loss(MSE),Training_MAE,Validation_MAE
1,5.867615699768066,9.24417495727539,2.221127986907959,1.6993311643600464
2,2.6054224967956543,5.71928596496582,1.4646636247634888,1.6414233446121216
3,0.8585019707679749,4.542361736297607,0.7396692037582397,1.7062617540359497
4,0.427695631980896,4.865545272827148,0.4533974528312683,1.690219521522522
5,0.3701120615005493,1.5177340507507324,0.42528536915779114,0.9529700875282288
6,0.3174062967300415,0.518969714641571,0.39530643820762634,0.41278955340385437
7,0.31974154710769653,0.32833582162857056,0.39665529131889343,0.3259445130825043
8,0.30569276213645935,0.16611607372760773,0.3861595094203949,0.2641618251800537
9,0.25427931547164917,0.14973057806491852,0.36121702194213867,0.2682054340839386
10,0.2807347774505615,0.20231139659881592,0.375592976808548,0.2908392548561096
11,0.3387146592140198,0.11408312618732452,0.42360031604766846,0.20380271971225739
12,0.30474239587783813,0.10839403420686722,0.3930688798427582,0.19266994297504425
13,0.2941720485687256,0.10999299585819244,0.39633989334106445,0.19148212671279907
14,0.3071349859237671,0.0833839699625969,0.3989987075328827,0.13667109608650208
15,0.39928531646728516,0.5033047795295715,0.4442303478717804,0.5436922311782837
16,0.32880446314811707,0.13188675045967102,0.429240882396698,0.24379965662956238
17,0.299220472574234,0.1107926294207573,0.3993476331233978,0.2118629366159439
18,0.2864643335342407,0.098136305809021,0.4030366539955139,0.17138782143592834
19,0.2848774194717407,0.07182908803224564,0.3665446937084198,0.11661924421787262
20,0.2566615343093872,0.08899715542793274,0.36232563853263855,0.13370579481124878
21,0.2622767984867096,0.06914393603801727,0.3650282025337219,0.10546975582838058
22,0.2786240875720978,0.074921153485775,0.3812577724456787,0.11386517435312271
23,0.32996702194213867,0.06552566587924957,0.41861623525619507,0.11423251032829285
24,0.2448613941669464,0.11477012932300568,0.35334208607673645,0.20687536895275116
25,0.3312923014163971,0.08600606769323349,0.40767940878868103,0.14630572497844696
26,0.2470424324274063,0.06239178404211998,0.3542553186416626,0.11588837206363678
27,0.30166003108024597,0.12356053292751312,0.37394624948501587,0.1965363323688507
28,0.3225690722465515,0.08340505510568619,0.4180557429790497,0.12457333505153656
29,0.23086272180080414,0.0801900252699852,0.33741864562034607,0.1569879800081253
30,0.31495746970176697,0.06035241112112999,0.4116801917552948,0.08955934643745422
31,0.24462199211120605,0.06364315748214722,0.3584534227848053,0.1056026741862297
32,0.32820332050323486,0.059074562042951584,0.4175662696361542,0.10886018723249435
33,0.24685850739479065,0.05746961385011673,0.3668114244937897,0.11179980635643005
34,0.2566700279712677,0.048102013766765594,0.3785148561000824,0.07505213469266891
35,0.22544728219509125,0.04923977702856064,0.3503544330596924,0.08557749539613724
36,0.2691739797592163,0.04779987782239914,0.3847545087337494,0.08305642008781433
37,0.23163287341594696,0.07268337160348892,0.35841092467308044,0.1785990297794342
38,0.2583281993865967,0.11344756931066513,0.38891690969467163,0.19872719049453735
39,0.3036404252052307,0.040274087339639664,0.4200468361377716,0.05735180154442787
40,0.269008994102478,0.05214487016201019,0.3910447657108307,0.11413978040218353
41,0.29832181334495544,0.17423658072948456,0.4211205542087555,0.282026469707489
42,0.2817968726158142,0.09967820346355438,0.3946669399738312,0.2415352612733841
43,0.29602569341659546,0.04719988629221916,0.41310763359069824,0.08306141197681427
44,0.2721698582172394,0.08872956782579422,0.3850429952144623,0.16836215555667877
45,0.2542359232902527,0.08036421239376068,0.3714410960674286,0.1495896428823471
46,0.3113635778427124,0.05880791321396828,0.4258589744567871,0.11373842507600784
47,0.2709280848503113,0.09237001091241837,0.38182738423347473,0.19230404496192932
